데이,표제어,예문,동의어1,동의어2,동의어3,동의어4,동의어5
5,habitual,His boss discharged him because of his habitual absenteeism.,accustomed,customary,,,
5,coincidence,She approached me pretending that it was just a coincidence.,accord,synchronism,,,
5,tear,The cover of the book is so thin that it may tear apart.,rend,rip,rupture,shred,split
5,doom,The plan was doomed to failure.,destiny,fate,fortune,lot,
5,doom,In retrospect Ithink my marriage was doomed from the beginning.,destine,foreordain,,,
5,hideous,The man living next door to Jessica is the most hideous looking person I have ever seen.,dreadful,frightful,repulsive,,
6,vacant,Many city dwellers are turning vacant lots into thriving gardens.,empty,unoccupied,void,,
6,acme,His success in this role marked his acme as an actor.,apex,climax,culmination,peak,summit
6,indicate,Record profits in the retail market indicate a boom in the economy.,display,show,,,
6,indicate,In his letter he indicated to us that he was willing to cooperate.,suggest,,,,
6,indicate,She took out a map and indicated the quickest route to us.,point,,,,
6,palatable,"The meal was barely palatable - in fact, I thought it was disgusting.",delicious,savory,tasty,,
6,palatable,They changed the wording of the ad to make it more palatable to women.,agreeable,attractive,pleasant,,
6,jam,The road was jammed up with cars.,block,congest,crowd,,
6,radical,The teachings of Socrates in his time were considered to be very radical.,drastic,extreme,,,
6,ban,A ban on nuclear testing has been a key objective of the United States.,prohibition,veto,,,
6,eccentric,The research lab was run by an eccentric but brilliant scientist named John Baek.,bizarre,odd,peculiar,strange,
6,salvation,"The company is in trouble, so a plan for its salvation has been proposed.",deliverance,redemption,restoration,,
6,reprieve,He was sentenced to death but was granted a last-minute reprieve.,respite,,,,
6,prevalent,Outbreaks of cholera and other diseases were prevalent in mining camps.,prevailing,rampant,widespread,,
6,monograph,He has just published a monograph on Beethoven’s symphonies.,dissertation,thesis,treatise,,
6,sensual,He kissed her full sensual lips.,voluptuous,erotic,sexual,carnal,
6,debacle,The debacle in a system of government can only result in anarchy.,breakdown,collapse,downfall,,
6,organization,The organization was established right after the Korean War.,association,group,institution,,
6,undulate,The wind caused prairie grass to undulate.,billow,ripple,roll,surge,wavy
6,adept,The left brain is better at language and analytical skills and the right brain is more adept at spatial relations and pattern recognition.,deft,proficient,skillful,versed,
6,equality,Equality is one of the most important relations in mathematics.,equation,,,,
6,disapprove,"She wants to be an actress, but her parents disapprove.",deprecate,dislike,object,,
6,maintain,The two countries have always maintained close relations.,keep,preserve,retain,sustain,
6,maintain,His attorneys maintain he is innocent.,argue,assert,claim,contend,insist
6,cadence,James has learned to speak in a flawless New York cadence.,accent,inflection,intonation,,
6,factitious,Hollywood actresses often create factitious tears by using glycerine.,artificial,synthetic,unnatural,sham,
6,pique,She slapped on his face in a fit of pique.,anger,annoyance,vexation,,
6,pique,His curiosity was piqued by the locked box.,arouse,excite,stir,,
6,hierarchy,Organization is everywhere and hierarchy is in every organization.,pecking order,ranking,social order,,
6,shortchange,"Because of money illusion, we allocate an excessive amount of time to monetary goals, and shortchange nonpecuniary ends such as family life and health.",cheat,defraud,swindle,,
6,discordant,The two neighbors have a discordant relationship.,conflicting,inconsistent,inconsonant,,
6,discordant,Opposition Members do not wish to strike a discordant note.,cacophonous,dissonant,,,
6,prospect,"Lon has no job, no job prospects and no desire to get a job.",expectation,likelihood,,,
6,champion,That policy was first championed by Conservative Members.,defend,support,,,
6,slender,I prefer voluptuous women over the slender type.,lanky,lean,slight,slim,
6,engage,She didn’t want to engage in conversation.,involve,occupy,,,
6,engage,He is engaged at a bank.,employ,hire,,,
6,illustrious,His illustrious achievements will be permanently remembered.,glorious,remarkable,,,
6,label,The newspapers had unjustly labelled him as a coward.,brand,call,name,,
6,beforehand,"Although he had inspected the engines beforehand, he experienced several small problems during the flight.",ahead,before,earlier,in advance,
6,odious,Greg always puts off mowing the lawn because it is such an odious task for him.,abhorrent,hateful,offensive,repugnant,
6,necessity,Diversification is almost a necessity for business nowadays.,certainty,inevitability,,,
6,tarnish,The copper pot has become tarnished after many years of neglect.,discolor,fade,,,
6,tarnish,Michael’s need to play basketball again was stronger than his fear of tarnishing his legacy.,besmirch,blemish,defame,taint,
6,clairvoyant,The clairvoyant has vowed to exorcise all the ghost.,discerning,intuitive,visionary,,
6,irrigate,He built reservoirs to irrigate land in the southern region.,water,,,,
6,mercenary,He has a mercenary scheme to marry a wealthy widow.,hireling,venal,,,
6,torpor,In the heat they sank into a state of torpor.,inactivity,inertia,lethargy,,
6,lure,The desire for quick profits lured them into questionable dealings.,allure,attract,entice,,
6,abate,The tourist group waited for the snow storm to abate.,dwindle,lessen,slacken,subside,wane
6,abate,This medicine will abate the pain.,decrease,diminish,,,
6,gaffe,President Bush has delivered a series of memorable verbal gaffes.,blunder,mistake,solecism,,
6,sweep,Rumors of his resignation swept through the company.,overrun,permeate,spread,,
6,haggard,I could imagine the hardship he had been through when I saw his haggard look.,emaciated,gaunt,,,
6,allege,The prosecution alleges that she was driving carelessly.,assert,claim,maintain,,
6,foible,Patti’s foibles included a tendency to prefer dogs to people.,defect,fault,,,
6,commandeer,"When the war started, the government commandeered schools and used them as hospitals.",conscript,confiscate,expropriate,,
7,generous,Father always sends me generous living allowances.,abundant,ample,plentiful,,
7,rampant,The infectious disease is running rampant.,prevalent,rife,widespread,,
7,accentuate,Opposition Members always accentuate negative aspects.,emphasize,highlight,stress,underline,underscore
7,elegy,"Pop star Elton John performed his song “Candle in the Wind”at Diana’s funeral, written as an elegy to movie star Marilyn Monroe.",dirge,lament,requiem,threnody,
7,magnificent,The view from the window was really magnificent.,grand,grandiose,impressive,splendid,
7,henceforth,The American continents are henceforth not to be considered as subjects for future colonization by any European powers.,from now on,hence,hereafter,in the future,
7,taboo,Cosmetic surgery is no longer a taboo topic in Korea.,ban,prohibition,,,
7,saline,"In the glaciers of the Antarctic, ancient microbes are still living in frigid saline water.",brackish,briny,salty,,
7,palliative,"Since no cure for AIDS has yet been discovered, treatment is palliative at best.",alleviative,mitigative,,,
7,cajole,"Ted didn’t want to go to the dance, but he got cajoled into it by his girlfriend.",coax,wheedle,,,
7,edible,"According to her, there are more than 1,000 kinds of edible bugs in the world.",comestible,eatable,esculent,,
7,scrutinize,"Every piece is closely scrutinized, and if there is the slightest blemish on it, it is rejected.",canvass,examine,inspect,,
7,anecdote,He told a funny anecdote at the opening of his speech.,story,tale,yarn,,
7,sloppy,The manager can’t afford to pay for sloppy work.,slipshod,slovenly,,,
7,witness,He is a living witness to my innocence.,eyewitness,,,,
7,identity,"Language is the expression of ideas; and if the people of our country cannot preserve an identity of ideas, they cannot retain an identity of language.",sameness,unity,,,
7,bigoted,She’s so bigoted that she refuses to accept anyone who doesn’t think like her.,closed-minded,hidebound,intolerant,,
7,sentient,"Animal rights advocates define animals as sentient beings who can think, feel, and suffer.",cognizant,conscious,,,
